Cnt      PC           IR           RegW  RDin         MemW  MDin
0189     00000088     1611fff8     0     00000000     0     00000000
018a     00000088     1611fff8     0     00000000     0     00000000
018b     00000068     1611fff8     0     00000000     0     00000000
018c     0000006c     8e130200     0     00000000     0     00000000
018d     0000006c     8e130200     0     00000000     0     00000000
018e     0000006c     8e130200     0     00000000     0     00000000
018f     0000006c     8e130200     1     00000005     0     00000000
0190     0000006c     8e130200     0     00000000     0     00000000
0191     00000070     8e340200     0     00000000     0     00000000
0192     00000070     8e340200     0     00000000     0     00000000
0193     00000070     8e340200     0     00000000     0     00000000
0194     00000070     8e340200     1     00000002     0     00000000
0195     00000070     8e340200     0     00000000     0     00000000
0196     00000074     0274402a     0     00000000     0     00000000
0197     00000074     0274402a     0     00000000     0     00000000
0198     00000074     0274402a     1     00000000     0     00000000
0199     00000074     0274402a     0     00000000     0     00000000
019a     00000078     11000002     0     00000000     0     00000000
019b     00000078     11000002     0     00000000     0     00000000
019c     00000080     11000002     0     00000000     0     00000000
019d     00000084     2231fffc     0     00000000     0     00000000
019e     00000084     2231fffc     0     00000000     0     00000000
019f     00000084     2231fffc     1     00000008     0     00000000
01a0     00000084     2231fffc     0     00000000     0     00000000
01a1     00000088     1611fff8     0     00000000     0     00000000
01a2     00000088     1611fff8     0     00000000     0     00000000
01a3     00000068     1611fff8     0     00000000     0     00000000
01a4     0000006c     8e130200     0     00000000     0     00000000
01a5     0000006c     8e130200     0     00000000     0     00000000
01a6     0000006c     8e130200     0     00000000     0     00000000
01a7     0000006c     8e130200     1     00000005     0     00000000
01a8     0000006c     8e130200     0     00000000     0     00000000
01a9     00000070     8e340200     0     00000000     0     00000000
01aa     00000070     8e340200     0     00000000     0     00000000
01ab     00000070     8e340200     0     00000000     0     00000000
01ac     00000070     8e340200     1     00000001     0     00000000
01ad     00000070     8e340200     0     00000000     0     00000000
01ae     00000074     0274402a     0     00000000     0     00000000
01af     00000074     0274402a     0     00000000     0     00000000
01b0     00000074     0274402a     1     00000000     0     00000000
01b1     00000074     0274402a     0     00000000     0     00000000
01b2     00000078     11000002     0     00000000     0     00000000
01b3     00000078     11000002     0     00000000     0     00000000
01b4     00000080     11000002     0     00000000     0     00000000
01b5     00000084     2231fffc     0     00000000     0     00000000
01b6     00000084     2231fffc     0     00000000     0     00000000
01b7     00000084     2231fffc     1     00000004     0     00000000
01b8     00000084     2231fffc     0     00000000     0     00000000
01b9     00000088     1611fff8     0     00000000     0     00000000
01ba     00000088     1611fff8     0     00000000     0     00000000
01bb     00000088     1611fff8     0     00000000     0     00000000
01bc     0000008c     22100004     0     00000000     0     00000000
01bd     0000008c     22100004     0     00000000     0     00000000
01be     0000008c     22100004     1     00000008     0     00000000
